wavelength,Rrs_ref0.3067,Rrs_ref0.2788,Rrs_ref0.2383,Rrs_ref0.2318,Rrs_ref0.2291
413.0,2.64045152e-03,2.93710211e-03,3.08168886e-03,1.73059109e-03,1.75415460e-03
414.0,2.66002279e-03,2.96283797e-03,3.09073438e-03,1.75715640e-03,1.78109104e-03
415.0,2.67933856e-03,2.98885186e-03,3.10027278e-03,1.78349778e-03,1.80796761e-03
416.0,2.70041294e-03,3.01569362e-03,3.11222504e-03,1.80808995e-03,1.83459194e-03
417.0,2.72185876e-03,3.04225668e-03,3.12681838e-03,1.83723061e-03,1.86425638e-03
418.0,2.74180744e-03,3.06842383e-03,3.14056026e-03,1.86627375e-03,1.89470106e-03
419.0,2.76334168e-03,3.09652927e-03,3.15237374e-03,1.89523747e-03,1.92382859e-03
420.0,2.78646955e-03,3.12639211e-03,3.16532873e-03,1.92114587e-03,1.95186990e-03
421.0,2.81094838e-03,3.15796489e-03,3.17807952e-03,1.95102640e-03,1.98143859e-03
422.0,2.83748992e-03,3.19119819e-03,3.19340354e-03,1.98086154e-03,2.01339469e-03
423.0,2.86203568e-03,3.22268645e-03,3.20858832e-03,2.01300562e-03,2.04665538e-03
424.0,2.88558198e-03,3.25403352e-03,3.22279246e-03,2.03968952e-03,2.07759180e-03
425.0,2.91181216e-03,3.28898033e-03,3.23416016e-03,2.06843914e-03,2.10922965e-03
426.0,2.93916695e-03,3.32607391e-03,3.24689609e-03,2.09444142e-03,2.13985846e-03
427.0,2.97116644e-03,3.37146994e-03,3.25566559e-03,2.11851961e-03,2.16650374e-03
428.0,3.00632769e-03,3.41735820e-03,3.28053723e-03,2.14315429e-03,2.20224051e-03
429.0,3.02922820e-03,3.44508317e-03,3.31909802e-03,2.19671796e-03,2.25479921e-03
430.0,3.04036576e-03,3.45382459e-03,3.33250657e-03,2.26115407e-03,2.30480426e-03
431.0,3.05936086e-03,3.47894001e-03,3.32459502e-03,2.28112629e-03,2.31844254e-03
432.0,3.08748811e-03,3.52125548e-03,3.32697337e-03,2.28288935e-03,2.33293366e-03
433.0,3.11355710e-03,3.55885045e-03,3.34383567e-03,2.31024684e-03,2.36417703e-03
434.0,3.13499233e-03,3.58862918e-03,3.35445315e-03,2.34706851e-03,2.40081176e-03
435.0,3.16336644e-03,3.62694629e-03,3.35958352e-03,2.36400693e-03,2.42090815e-03
436.0,3.19978255e-03,3.67575602e-03,3.37630328e-03,2.38024127e-03,2.44622154e-03
437.0,3.23636953e-03,3.71878279e-03,3.40672699e-03,2.41827677e-03,2.48805739e-03
438.0,3.26914086e-03,3.75438806e-03,3.43999121e-03,2.46942413e-03,2.53811411e-03
439.0,3.29997260e-03,3.78650974e-03,3.46698882e-03,2.51307456e-03,2.57964122e-03
440.0,3.33471519e-03,3.82467665e-03,3.49377232e-03,2.55131851e-03,2.61748636e-03
441.0,3.37113550e-03,3.86589336e-03,3.52341085e-03,2.58310374e-03,2.65389361e-03
442.0,3.41284997e-03,3.91438910e-03,3.55801799e-03,2.61963538e-03,2.69334599e-03
443.0,3.45631264e-03,3.96254819e-03,3.59958549e-03,2.65568083e-03,2.73528638e-03
444.0,3.50282831e-03,4.01017647e-03,3.64986327e-03,2.70163773e-03,2.78577618e-03
445.0,3.54720088e-03,4.05191483e-03,3.70442171e-03,2.75708845e-03,2.84359810e-03
446.0,3.59043610e-03,4.09417931e-03,3.75260384e-03,2.81618697e-03,2.89764931e-03
447.0,3.63434031e-03,4.13662729e-03,3.80097152e-03,2.86198480e-03,2.94560762e-03
448.0,3.67698113e-03,4.17897383e-03,3.84977409e-03,2.90741359e-03,2.99514259e-03
449.0,3.72035066e-03,4.22404276e-03,3.89541449e-03,2.95310584e-03,3.04247818e-03
450.0,3.76568032e-03,4.27313319e-03,3.93873532e-03,2.99013588e-03,3.08170117e-03
451.0,3.81280240e-03,4.32329776e-03,3.99036308e-03,3.02534785e-03,3.12492944e-03
452.0,3.85637256e-03,4.36452160e-03,4.04739561e-03,3.08601645e-03,3.18765753e-03
453.0,3.89154580e-03,4.39120516e-03,4.09358868e-03,3.14226936e-03,3.23593050e-03
454.0,3.93006071e-03,4.43190117e-03,4.13497578e-03,3.18661443e-03,3.28400660e-03
455.0,3.96658799e-03,4.46774062e-03,4.17427551e-03,3.22995875e-03,3.32498266e-03
456.0,4.00242737e-03,4.50576656e-03,4.20483299e-03,3.25953177e-03,3.35598191e-03
