n,sky,dm,M,adg,bbp,eta,rms,amp
00001,00000,1.0999999999999943,13.100034164533689,1.2270677219096824,0.08998591188675621,0.17547661207528997,9.60874964529053,0.008809062301112561
00005,00020,4.0,14.045062819308924,1.0331057463488968,0.07057186595366674,0.21463499130701247,11.147967343007572,0.0070557709061902
00006,00010,0.30000000000000426,12.078340572033017,1.2232953040264318,0.08941070779711843,0.15114065821356792,8.966954197610665,0.009323924902562493
00007,00009,0.3999999999999986,12.38081988314845,1.221312915013975,0.08515231632435936,0.1547932913757497,9.24034435564672,0.008791072071950961
00008,00020,2.700000000000003,11.785432966767978,1.2048560657609348,0.06634927142456239,0.17174128674225608,11.26198704217775,0.007028327247914173
00011,00020,0.7000000000000028,10.162350433601096,1.2812333689840139,0.07888147958642941,0.15947439134821972,11.740055042355042,0.008576910057894595
00012,00020,3.6000000000000014,13.038802888672747,1.123202212448724,0.07881222511099902,0.21064953341114445,11.80827973306361,0.007835259889541707
00013,00010,0.10000000000000142,8.671700135449102,1.4036534255999975,0.08235281674107557,0.12685541053739913,11.757240322108448,0.009261355808235092
00016,00009,0.20000000000000284,10.349057269043394,1.368530346832379,0.09393884715627261,0.16342113780941192,11.563331478188681,0.009632163936230245
00017,00020,0.6000000000000014,9.87148037574826,1.3910205061489698,0.09425371843867905,0.15557164340745366,11.479413734943279,0.009822122487393862
00018,00009,0.10000000000000142,11.034985239546243,1.253876762452243,0.09913020512878282,0.17563312895038896,10.657730274790978,0.010207846360974169
00019,00020,6.100000000000001,10.940106915207535,1.315508386049947,0.08725500433281712,0.17020438289203277,11.930852945214589,0.008904895224967995
