"# every arm of the assumption sweep, ranked by chi2. nu=298, sigma = the measured per-band uncertainty in FINAL_Rrs.csv"
"# admissible = chi2_nu <= 2 x best (a STATED cut, not a confidence level -- see LOC1_GIOP_FINDINGS.md 2b/2c)"
arm,family,chi2,chi2_nu,weight_avni,admissible,M_phi,adg443,bbp443,S_dg,eta
shapes FREE (Ciotti sf=0.5),free,2161.9899,7.2550,1,1,5.23586,1.12534,0.0825599,0.00828599,-1
shapes FREE (Bricaud),free,2581.0245,8.6612,2.87078e-13,1,4.85913,1.22277,0.0908247,0.00925548,-1
OC4 input 50,chl,20887.4378,70.0921,0,0,17.7985,2.70913,0.198498,0.018,0.21133
OC4 input 30,chl,21007.8475,70.4961,0,0,22.6419,2.63974,0.210354,0.018,0.21133
OC4 input 20,chl,21524.9147,72.2313,0,0,26.7155,2.53785,0.21695,0.018,0.21133
OC4 input 15,chl,22253.8834,74.6775,0,0,29.427,2.44192,0.218949,0.018,0.21133
OC4 input 11.1,chl,23478.3608,78.7864,0,0,31.8114,2.32625,0.21782,0.018,0.21133
Ciotti sf=0.0,sf,24679.8719,82.8184,0,0,106.39,1.76709,0.172324,0.018,0.21133
OC4 input 8,chl,25430.4738,85.3372,0,0,33.4042,2.2003,0.212302,0.018,0.21133
OC4 input 5,chl,29655.3848,99.5147,0,0,32.8945,2.05357,0.195322,0.018,0.21133
OC4 input 3,chl,35849.5186,120.3004,0,0,25.4789,2.03069,0.160944,0.018,0.21133
OC4 input 1,chl,38416.6467,128.9149,0,0,1.35229e-20,2.18463,0.0857089,0.018,0.21133
Ciotti sf=0.5,sf,38416.6498,128.9149,0,0,1.49841e-31,2.18463,0.0857089,0.018,0.21133
Ciotti sf=0.4,sf,38416.6500,128.9149,0,0,3.34454e-33,2.18463,0.0857089,0.018,0.21133
Ciotti sf=0.3,sf,38416.6508,128.9149,0,0,5.89694e-31,2.18463,0.0857089,0.018,0.21133
Ciotti sf=1.0,sf,38416.6508,128.9149,0,0,5.53577e-32,2.18463,0.0857089,0.018,0.21133
Ciotti sf=0.9,sf,38416.6510,128.9149,0,0,9.09086e-32,2.18463,0.0857089,0.018,0.21133
Ciotti sf=0.2,sf,38416.6514,128.9149,0,0,2.74069e-30,2.18463,0.0857089,0.018,0.21133
Ciotti sf=0.8,sf,38416.6518,128.9149,0,0,2.55381e-31,2.18463,0.0857089,0.018,0.21133
Ciotti sf=0.7,sf,38416.6524,128.9149,0,0,1.28165e-30,2.18463,0.0857089,0.018,0.21133
Ciotti sf=0.6,sf,38416.6530,128.9149,0,0,1.27903e-30,2.18463,0.0857089,0.018,0.21133
OC4 input 0.5,chl,38416.6543,128.9149,0,0,1.35116e-28,2.18463,0.0857089,0.018,0.21133
OC4 input 2,chl,39322.3405,131.9542,0,0,11.632,2.15688,0.118593,0.018,0.21133
Ciotti sf=0.1,sf,41114.5789,137.9684,0,0,28.0851,1.99474,0.108458,0.018,0.21133

"# chi2 surface minimum over (S_dg, eta), 34x34 grid"
S_dg_best,0.00866667,eta_best,-1,chi2_nu_best,8.37144
# residual autocorrelation of the GIOP-default fit
lag1_rho,0.993169,n_bands,301,n_eff_AR1,1.032
