scan,rrs555,rrs443,peak700,blue_slope,nir_ratio,red_edge,angle_main,tilt,sky,verdict
00001,0.008809062301112561,0.0025554374468218207,1.2123530457062017,0.17850487269426982,1.784658107133712,0.2533794951960299,1.6325326489588712,43.2,00000,clean
00005,0.007119966301065726,0.002350642625093115,1.2294482961782303,0.21757880573298138,1.729555697453174,0.30378404358510824,2.7420596888860116,41.6,00000,glint (correctable)
00006,0.009323924902562493,0.0025640653778627206,1.2853081982757477,0.17002258689146865,1.6807219977965502,0.30505606104610583,2.6578988671331314,47.3,00010,clean
00007,0.008791072071950961,0.0024378226041833293,1.289964704401117,0.17074127042592507,1.6893849301160586,0.3137647520441351,2.8504784698710477,46.1,00009,glint (correctable)
00008,0.007094638291275507,0.0021666804370937373,1.2431231096063133,0.1891824868859339,1.7797382095884824,0.2900200541832725,1.9567566670265726,42.9,00000,clean
00011,0.008647106959940707,0.0025572212931591217,1.1835872182757927,0.1731994728013045,2.0770774108328833,0.22926874497418692,1.3541241481694586,44.9,00000,clean
00012,0.00790007508019392,0.00258064601467797,1.1598641346752914,0.20414331796118657,1.9829432986014468,0.24789531892331942,2.0272435610141386,42.0,00000,clean
00013,0.009261355808235092,0.002423769841171323,1.177880853489662,0.13173925560806335,2.0594489548572654,0.21415029954845988,1.8242561161340654,47.5,00010,clean
00016,0.009632163936230245,0.002728315955223162,1.0998738797587837,0.15267313402680482,2.0678869586171933,0.21022687344971488,1.4118627354601034,46.3,00009,clean
00017,0.009908838237848258,0.002902264077795598,1.1063230977835747,0.17147784659395152,2.043869835574004,0.21041420777067818,1.4173820300854516,45.0,00002,clean
00018,0.010207846360974169,0.0029633781164910247,1.111654914938356,0.16697739297576614,2.140684769800075,0.20252971419051063,1.450183114411717,46.4,00009,clean
00019,0.008966242831009146,0.0026918679531998703,1.1294111959156725,0.17682190502535108,2.031845210934971,0.23553034336073905,1.3490300977181722,39.5,00000,clean
