scan,rrs555,rrs443,peak700,blue_slope,nir_ratio,red_edge,angle_main,tilt,sky,verdict
00027,0.010627095776752426,0.0038919054053130884,1.0324004041807173,0.3254961875429793,1.6382155766169597,0.3132133268793722,3.5358744839296206,47.1,00022,"deviant, NOT glint"
00028,0.010671149980355728,0.003895100741015364,1.0277959145131113,0.3213456476563688,1.6420778853825118,0.3045364184045812,3.3582218220194595,47.5,00023,"deviant, NOT glint"
00029,0.010734999539670451,0.0038527583445532635,1.03859488907441,0.3172159314424238,1.6222030544180768,0.3210346903260926,3.4226025037457783,45.8,00042,"deviant, NOT glint"
00030,0.010578809322466902,0.003198258004830403,1.0365061742286092,0.2415033576202677,1.7448484387407812,0.28672462991416137,1.0061210008229216,45.3,00042,clean
00031,0.010226579367277713,0.0031021114344294437,1.015749218339975,0.23496144848881317,1.877286815078599,0.2518487362501161,0.9070060803050202,45.2,00042,clean
00032,0.01113421313144739,0.003167698625298751,1.0353644133429099,0.22248264156852768,1.7496550650441385,0.27439772216816316,0.9955726866556762,45.5,00042,clean
00033,0.011209404048599641,0.0033343968993247717,1.0398585594839582,0.24123528171853922,1.6716107493397214,0.2936959312362378,1.200085256195309,45.2,00042,clean
00034,0.01057822972988089,0.0031877386590703793,1.0084042099596702,0.2367592674100094,1.7784362183691695,0.2517533295589697,0.9200271583854898,44.1,00042,clean
00035,0.0112456004541851,0.0034204384183466412,1.0705979211908399,0.26058871289171703,1.5188540728216775,0.3653880854121246,3.1563306481930127,42.7,00042,glint (correctable)
00036,0.010878088913680849,0.0034518768410716585,1.001931097991194,0.25495210029174187,1.7078951067559145,0.2666822483087906,0.8508475220675806,45.2,00042,clean
00037,0.01079818761953914,0.0032802162924336093,1.0042824350822035,0.23989111321249654,1.847977645939056,0.2493308753682523,0.9354664746385299,45.0,00042,clean
00038,0.01073533110891708,0.0029887067443418566,1.0136022703709906,0.20738671265134212,1.8427165999796071,0.24585432362211393,1.2701085154818463,43.2,00042,clean
